SubscriberIdentityNumber,Phone Number,Subscriber Name,SSN,Subscriber Age,State,Zip Code,SubscribedFromDate,Internet Service,SMS Service,Churn Status
3.45279E+14,1654788999,Mike,214448881,25,Arizona,85005,1/12/2018,Active,Active,Active
3.45279E+14,1888777222,John,214448882,15,Florida,33130,12/12/2018,Active,Active,Active
3.45279E+14,1122765445,James,214448883,45,Newyork,10005,5/25/2018,Active,Active,Active
3.45279E+14,10,Robert,214448884,62,Newyork,10006,11/5/2017,InActive,,Active
3.45279E+14,1590741891,Thomas,214448885,15,Newyork,10007,4/18/2017,Active,Active,
3.45279E+14,20,Charles,214448886,33,Newyork,10008,9/29/2019,Active,Active,Active
3.45279E+14,1058718337,Sam,214448887,22,Newyork,10009,3/12/2016,Active,Active,Active
3.45279E+14,1292706560,Antony,214448888,78,Newyork,10010,8/24/2015,Active,Active,Active
3.45279E+14,1526694783,Raj,214448889,55,Newyork,10011,2/4/2019,Active,Active,
3.45279E+14,1526694784,Brian,214448890,44,Newyork,10012,2/5/2019,Active,Active,Active
3.45279E+14,1526694785,Edward,214448891,33,Newyork,10013,2/6/2019,Active,Active,Active
3.45279E+14,1526694786,Gary,214448892,22,Newyork,10014,2/7/2019,Active,Active,Active
3.45279E+14,1526694787,Rinold,214448893,45,Newyork,10015,2/8/2019,InActive,Active,Active
3.45279E+14,10,Timoty,214448894,54,Newyork,10016,2/9/2019,InActive,Active,Active
3.45279E+14,1526694789,Narry,214448895,44,Newyork,10017,2/10/2019,InActive,Active,Active
3.45279E+14,1526694790,Nicholos,214448896,33,Newyork,10018,2/11/2019,Active,Active,Active
3.45279E+14,10,Samuel,214448897,67,Newyork,10019,2/12/2019,Active,Active,Active
3.45279E+14,1526694792,Jose,214448898,22,Newyork,10020,2/13/2019,Active,Active,Active
3.45279E+14,1526694793,Henry,214448899,34,Newyork,10021,2/14/2019,Active,Active,Active
3.45279E+14,1526694794,Austin,214448900,35,Newjersy,7039,2/15/2019,Active,Active,Active
3.45279E+14,1526694795,Mike,214448901,36,North Carolina,27565,2/16/2019,Active,Active,Active
3.45279E+14,1526694796,John,214448902,37,Newyork,10005,2/17/2019,Active,Active,Active
3.45279E+14,1526694797,James,214448903,38,Newyork,10006,2/18/2019,Active,Active,Active
3.45279E+14,1526694798,Robert,214448904,39,Newyork,10007,1/20/2019,Active,Active,Active
3.45279E+14,1526694799,Thomas,214448905,40,Newyork,10008,1/21/2019,Active,Active,Active
3.45279E+14,1526694800,Charles,214448906,25,Newyork,10009,1/22/2019,Active,Active,Active
3.45279E+14,1526694801,Sam,214448907,26,Newyork,10010,1/23/2019,Active,Active,Active
3.45279E+14,1526694802,Antony,214448908,27,Newyork,10011,1/24/2019,Active,Active,Active
3.45279E+14,1526694803,Raj,214448909,28,Newyork,10012,1/25/2019,Active,Active,Active
3.45279E+14,1526694804,Brian,214448910,29,Newyork,10013,1/26/2019,Active,Active,Active
3.45279E+14,1526694805,Edward,214448911,30,Newyork,10014,1/27/2019,Active,Active,Active
3.45279E+14,1526694806,Gary,214448912,31,Newyork,10015,3/20/2020,Active,Active,Active
3.45279E+14,1526694807,Rinold,214448913,32,Newyork,10016,3/21/2020,InActive,Active,Active
3.45279E+14,1526694808,Timoty,214448914,33,Newyork,10017,3/22/2020,Active,Active,Active
3.45279E+14,1526694809,Narry,214448915,34,Newyork,10018,3/23/2020,Active,Active,Active
3.45279E+14,1526694810,Nicholos,214448916,35,Newyork,10019,3/24/2020,Active,Active,Active
3.45279E+14,1526694811,Samuel,214448917,36,Newyork,10020,3/25/2020,Active,Active,Active
3.45279E+14,1526694812,Jose,214448918,37,Newyork,10021,12/1/2018,Active,Active,Active
3.45279E+14,1526694813,Henry,214448919,38,Ohio,44102,12/2/2018,Active,Active,Active
3.45279E+14,1526694814,Austin,214448920,39,Ohio,44103,12/3/2018,Active,Active,Active
3.45279E+14,1526694815,Mike,214448921,40,Ohio,44104,12/4/2018,Active,Active,Active
3.45279E+14,1526694816,John,214448922,41,Ohio,44105,12/5/2018,Active,Active,Active
3.45279E+14,1526694817,James,214448923,42,Ohio,44106,12/6/2018,Active,Active,Active
3.45279E+14,1526694818,Robert,214448924,43,Ohio,44107,12/7/2018,Active,Active,Active
3.45279E+14,1526694819,Thomas,214448925,44,Ohio,44108,12/8/2018,Active,Active,Active
3.45279E+14,1526694820,Charles,214448926,33,Ohio,44109,12/9/2018,Active,Active,Active
3.45279E+14,1526694821,Sam,214448927,23,Ohio,44110,12/10/2018,Active,Active,Active
3.45279E+14,1526694822,Antony,214448928,78,Ohio,44111,12/11/2018,InActive,Active,Active
3.45279E+14,1526694823,Raj,214448929,68,Ohio,44112,12/12/2018,Active,Active,Active
3.45279E+14,1526694824,Brian,214448930,57,Ohio,44113,12/13/2018,Active,Active,Active
3.45279E+14,1526694825,Edward,214448931,25,Ohio,44114,1/12/2018,Active,Active,Active
3.45279E+14,1526694826,Gary,214448932,15,Ohio,44115,12/12/2018,Active,Active,Active
3.45279E+14,1526694827,Rinold,214448933,45,Ohio,44116,5/25/2018,Active,Active,Active
3.45279E+14,1526694828,Timoty,214448934,62,Ohio,44117,11/5/2017,Active,Active,Active
3.45279E+14,1526694829,Narry,214448935,15,Ohio,44118,4/18/2017,Active,Active,Active
3.45279E+14,1526694830,Nicholos,214448936,33,Ohio,44119,9/29/2019,Active,Active,Active
3.45279E+14,1526694831,Samuel,214448937,22,Ohio,44120,3/12/2016,Active,Active,Active
3.45279E+14,1526694832,Jose,214448938,78,Ohio,44121,8/24/2015,Active,Active,Active
3.45279E+14,1526694833,Henry,214448939,55,Ohio,44122,2/4/2019,Active,Active,Active
3.45279E+14,1526694834,Austin,214448940,44,Ohio,44123,2/5/2019,Active,Active,Active
3.45279E+14,1526694835,Mike,214448941,33,Ohio,44124,2/6/2019,Active,Active,Active
3.45279E+14,1526694836,John,214448942,22,Ohio,44125,2/7/2019,Active,Active,Active
3.45279E+14,1526694837,James,214448943,45,Ohio,44126,2/8/2019,Active,Active,Active
